cause,effect,cause_topic,effect_topic,paper_name,source_id,conf_topic,path_to_cause,path_to_effect,to_cause_sources,to_effect_sources,to_cause_len,to_effect_len,conf_papers,within_same_paper
business cycle fluctuations,the US childcare market,topic_1718,topic_5191,Childcare over the Business Cycle,77042,topic_152,"
the business cycle --> the distribution of selected majors among college completers
the distribution of college majors selected among that cohort’s college graduates --> major choices change over the business cycle","
the business cycle --> the childcare market","[52169, 52299]",[77244],2,1,"['Childcare over the Business Cycle', 'Investment over the Business Cycle: Insights from College Major Choice']",FALSE
parental income in CZs that Chetty et al. ( 2014a ) measure as high transmission than in those measured as low transmission,this accounts for 41% of the total variation in CZ-level income transmission,topic_2489,topic_464,Inequality of Educational Opportunity? Schools as Mediators of the Intergenerational Transmission of Income,17392,topic_3547,"
CZs with stronger than average transmission of parental income to children’s income --> tend to also have stronger than average transmission of parental income to children’s test scores and educational attainment","
transmission of parental income to children’s income is correlated across CZs --> transmission of parental income to children’s educational attainment
differences in transmission from parental income to children’s higher education attainment --> three-quarters of the variance in income transmission across CZs",[17233],"[17233, 17218]",1,2,['Inequality of Educational Opportunity? Schools as Mediators of the Intergenerational Transmission of Income'],TRUE
Holidays will not impact all births in the manipulation window,our reduced-form effects by the fraction of births in the manipulation window whose timing is manipulated,topic_6927,topic_2472,"Holiday, Just One Day out of Life: Birth Timing and Postnatal Outcomes",60135,topic_5017,"
the pregnancy is low risk --> the characteristics of mothers and babies differ across days within the holiday interval","
The low-risk nature of most births --> may make it difficult to pick up any real effects of birth timing",[60286],[60392],1,1,"['Holiday, Just One Day out of Life: Birth Timing and Postnatal Outcomes']",TRUE
there is heterogeneity in the effects of holidays,it may be difficult to extrapolate from these two dates,topic_6927,topic_1569,"Holiday, Just One Day out of Life: Birth Timing and Postnatal Outcomes",60523,topic_5017,"
the pregnancy is low risk --> the characteristics of mothers and babies differ across days within the holiday interval","
negative birth outcomes are relatively rare --> this sample has both a high probability of being scheduled and, independent of scheduling, of experiencing adverse outcomes",[60286],[60152],1,1,"['Holiday, Just One Day out of Life: Birth Timing and Postnatal Outcomes']",TRUE
the rescheduling of cesarean sections and inductions as a result of the holiday,a few more births are delivered without medical intervention,topic_338,topic_4540,"Holiday, Just One Day out of Life: Birth Timing and Postnatal Outcomes",60238,topic_6505,"
holidays --> Staffing may be reduced on holidays
to avoid a holiday --> providers can decide to schedule the birth before or after the holiday","
holidays --> the pattern of births at Kaiser Foundation Hospitals, a closed HMO system that has a disincentive to schedule elective delivery","[60028, 60009]",[60019],2,1,"['Holiday, Just One Day out of Life: Birth Timing and Postnatal Outcomes']",TRUE
"the births inside the holiday manipulation window should be ex ante otherwise similar to our “control” births (i.e., the counterfactual births outside the holiday manipulation window)",birth outcomes,topic_338,topic_107,"Holiday, Just One Day out of Life: Birth Timing and Postnatal Outcomes",60302,topic_6505,"
holidays --> Staffing may be reduced on holidays
to avoid a holiday --> providers can decide to schedule the birth before or after the holiday","
holidays --> birth outcomes","[60028, 60009]",[60026],2,1,"['Holiday, Just One Day out of Life: Birth Timing and Postnatal Outcomes']",TRUE
a small probability increase associated with rebates of taking a week off from work without pay,this finding is consistent with individuals spending their rebates on additional leisure,topic_160,topic_1489,Does Labor Supply Respond to Transitory Income? Evidence from the Economic Stimulus Payments of 2008,26658,topic_1045,"
rebate receipt --> increases the probability of voluntary unpaid absences from work but is unrelated to involuntary absences and absences due to injury or illness","
they purchase goods with their rebate --> consumption and leisure are complements",[26200],[26615],1,1,['Does Labor Supply Respond to Transitory Income? Evidence from the Economic Stimulus Payments of 2008'],TRUE
some weeks of leave remain unconsumed,the majority of movement in this table brings fathers from panel A (consuming no leave) to panel B (consuming from the daddy quota) but not to panel C (consuming more than the quota),topic_160,topic_1778,Reserving Time for Daddy: The Consequences of Fathers’ Quotas,14649,topic_5343,"
QPIP --> reduced the likelihood of any combination where the father took zero weeks of leave","
QPIP --> made fathers more willing to participate in parental leave but only to consume from their daddy quota",[14635],[14652],1,1,['Reserving Time for Daddy: The Consequences of Fathers’ Quotas'],TRUE
some weeks were reallocated to individual nontransferable leave for each parent,Mothers retained access to the same amount of potential leave (50 weeks of paid leave),topic_160,topic_6307,Reserving Time for Daddy: The Consequences of Fathers’ Quotas,14308,topic_5343,"
QPIP --> reduced the likelihood of any combination where the father took zero weeks of leave","
QPIP --> Mothers retained access to the same amount of potential leave (50 weeks of paid leave)",[14635],[14309],1,1,['Reserving Time for Daddy: The Consequences of Fathers’ Quotas'],TRUE
such departures are relatively infrequent,the average incarceration rate is only 4.5% at the lowest severity levels,topic_160,topic_2763,"Judge Effects, Case Characteristics, and Plea Bargaining",60827,topic_1948,"
Students who are retained --> are absent 0.76 more days per year but are less likely to have a behavior incident in the first year following failure","
being retained --> increases the number of adult convictions by 0.025, or 18.38%",[67927],[67874],1,1,['The Effect of Grade Retention on Adult Crime: Evidence from a Test-Based Promotion Policy'],FALSE
the duration of an applicant’s unemployment spell,callback rates,topic_1575,topic_2154,Whom Do Employers Want? The Role of Recent Employment and Unemployment Status and Age,7345,topic_6750,"
age --> unemployment duration","
age --> callback rates",[7701],[7363],1,1,['Whom Do Employers Want? The Role of Recent Employment and Unemployment Status and Age'],TRUE
unemployment duration,callback rates in US markets,topic_1575,topic_2154,Whom Do Employers Want? The Role of Recent Employment and Unemployment Status and Age,7348,topic_6750,"
age --> unemployment duration","
age --> callback rates",[7701],[7363],1,1,['Whom Do Employers Want? The Role of Recent Employment and Unemployment Status and Age'],TRUE
a strong correlation across departments between the booking rates of youths of different races and ethnicities,departments that are tough with black youth are also tough with white and Hispanic youth,topic_2542,topic_2115,Racial Disparities in the Acquisition of Juvenile Arrest Records,18769,topic_946,"
discretion is the greatest --> racial and ethnic disparities in booking rates are largest","
the greatest discretion is exercised --> departments that are tough with black youth are also tough with white and Hispanic youth",[18581],[18769],1,1,['Racial Disparities in the Acquisition of Juvenile Arrest Records'],TRUE
the college fixed effects absorb a lot of the variation in outcomes,weaker effects for attendance than for applications,topic_1117,topic_5248,Changing College Choices with Personalized Admissions Information at Scale: Evidence on Naviance,42417,topic_377,"
major fixed effects and flexible major-specific trends --> account for unobservable characteristics of majors that are either permanent or smoothly time varying","
state-by-year fixed effects are included in the specification --> the effect is less precisely estimated",[52262],[8429],1,1,"['Hedonic-Based Labor Supply Substitution and the Ripple Effect of Minimum Wages', 'Investment over the Business Cycle: Insights from College Major Choice']",FALSE
"Pay-for-percentile incentives, but not the other two designs",increased both the coverage and the intensity of classroom instruction,topic_2409,topic_1965,Pay by Design: Teacher Performance Pay Design and the Distribution of Student Achievement,11988,topic_2854,"
incentive schemes are implemented on a very large scale --> results will not necessarily hold in other contexts or if incentive schemes are useful","
the different incentive design treatments --> had significant effects on teaching practice as measured by curricular coverage",[12005],[11852],1,1,['Pay by Design: Teacher Performance Pay Design and the Distribution of Student Achievement'],TRUE
"pushing it toward pay for performance, a distinctly different incentive system",This change permeated across the firm’s personnel decisions,topic_2409,topic_2164,Personnel Practices and Regulation: How Firm-Provided Incentives Respond to Changes in Mandatory Retirement Law,53199,topic_3471,"
skill level --> bonus incentives vary","
skill and by age --> the firm used multiple levers to manage the ripple effects of the law change",[53437],[53417],1,1,['Personnel Practices and Regulation: How Firm-Provided Incentives Respond to Changes in Mandatory Retirement Law'],TRUE
pay-for-percentile incentives did not,the pay-for-percentile scheme rewards achievement gains more symmetrically across students within a class,topic_2409,topic_5190,Pay by Design: Teacher Performance Pay Design and the Distribution of Student Achievement,11581,topic_6864,"
teachers compete for a fixed pool of money --> tournaments may also be less subject to political pressures that flatten rewards","
When teachers are ranked and rewarded according to class-average levels or gains --> teachers will allocate effort across students in the class to maximize the class-average score on the final exam",[11656],[11711],1,1,['Pay by Design: Teacher Performance Pay Design and the Distribution of Student Achievement'],TRUE
monetary and nonmonetary incentives are substitutes in the workers’ incentive constraints,Such empowerment contracts offer less performance pay the higher the worker’s degree of task commitment,topic_2409,topic_2878,"Empowerment, Task Commitment, and Performance Pay",72385,topic_220,"
the degree of task commitment further increases --> the optimal monetary incentives decrease","
the degree of task commitment further increases --> intrinsic motivation will be so high that the worker exerts more effort than the employer wants to implement without the commitment effect",[72480],[72478],1,1,"['Empowerment, Task Commitment, and Performance Pay']",TRUE
a quota,women receive ex ante a lower wage unless a quota leads to a better allocation of women,topic_34,topic_2328,Labor Market Quotas When Promotions Are Signals,46851,topic_5834,"
increasing asymmetric information between firms --> a quota","
increasing asymmetric information between firms --> a quota reduces competition for employees in position H",[46839],[46839],1,1,['Labor Market Quotas When Promotions Are Signals'],TRUE
A quota,makes female employees better off from an ex ante point of view,topic_34,topic_2328,Labor Market Quotas When Promotions Are Signals,46894,topic_5834,"
increasing asymmetric information between firms --> a quota","
increasing asymmetric information between firms --> a quota reduces competition for employees in position H",[46839],[46839],1,1,['Labor Market Quotas When Promotions Are Signals'],TRUE
A quota,it makes female employees better off from an ex ante point of view,topic_34,topic_2328,Labor Market Quotas When Promotions Are Signals,46897,topic_5834,"
increasing asymmetric information between firms --> a quota","
increasing asymmetric information between firms --> a quota reduces competition for employees in position H",[46839],[46839],1,1,['Labor Market Quotas When Promotions Are Signals'],TRUE
among low-income adults,coverage increased more,topic_4895,topic_2163,Medicaid Expansion and the Unemployed,61611,topic_5996,"
very few nondisabled childless adults were eligible for Medicaid prior to the ACA --> most of this research focuses on low-income parents","
in states that implemented the Medicaid expansion than in states that did not --> coverage increased more",[61570],[61608],1,1,['Medicaid Expansion and the Unemployed'],TRUE
this increase,an increase in socioeconomic school segregation between private and public schools,topic_434,topic_1607,The Long-Run Effects of Teacher Strikes: Evidence from Argentina,15725,topic_4895,"
high- and middle-income families --> this increase","
high- and middle-income families --> an increase in socioeconomic school segregation between private and public schools",[15727],[15728],1,1,['The Long-Run Effects of Teacher Strikes: Evidence from Argentina'],TRUE
The estimated effect of the expansion,the probability of being uninsured is slightly lower in the late-expander sample (0.068 vs. 0.080),topic_434,topic_32,Medicaid Expansion and the Unemployed,61901,topic_4895,"
high- and middle-income families --> this increase","
the improvements in child outcomes are found in a group of financially unconstrained families --> the increase in household resources is statistically significant but economically small (2%)",[15727],[27180],1,1,"['The Long-Run Effects of Teacher Strikes: Evidence from Argentina', 'Parental Leave Benefits, Household Labor Supply, and Children’s Long-Run Outcomes']",FALSE
increases in Pell grants at an urban community college system,"have no effect on college choice, credit attainment, or college completion",topic_4027,topic_1240,Pell Grants and Student Success: Evidence from the Universe of Federal Aid Recipients,62329,topic_4703,"
the effect of tuition --> the probability of receiving any federal Pell Grants for the full sample and the college-going subsample","
the variation in tuition exploited in this study --> exert no meaningful effect on the probability of a student attending a public 4-year university",[28182],[27981],1,1,['Student Loans and Homeownership'],FALSE
increase in Pell grants at an urban community college system,"have no effect on college choice, credit attainment, or college completion",topic_4027,topic_1240,Pell Grants and Student Success: Evidence from the Universe of Federal Aid Recipients,62330,topic_4703,"
the effect of tuition --> the probability of receiving any federal Pell Grants for the full sample and the college-going subsample","
the variation in tuition exploited in this study --> exert no meaningful effect on the probability of a student attending a public 4-year university",[28182],[27981],1,1,['Student Loans and Homeownership'],FALSE
Increasing Pell grants via the maximum benefit,is likely to interact with state and institution aid in different ways and affect much broader groups of students than is true in any of the individual studies that have estimated impacts of Pell on students,topic_4027,topic_6183,Pell Grants and Student Success: Evidence from the Universe of Federal Aid Recipients,62791,topic_3490,"
Pell eligibility is recalculated each year and both the AZ threshold and discontinuity change from year to year --> the total increase in grant aid to be about one-third larger than the increase in average Pell awards","
Pell eligibility is recalculated each year and both the AZ threshold and discontinuity change from year to year --> Pell grant aid would be similar for students on either side of the AZ family income threshold in subsequent years",[62765],[62764],1,1,['Pell Grants and Student Success: Evidence from the Universe of Federal Aid Recipients'],TRUE
increased Pell grants,outcomes,topic_4027,topic_952,Pell Grants and Student Success: Evidence from the Universe of Federal Aid Recipients,62444,topic_7475,"
tuition --> the probability of receiving any federal Pell Grants","
tuition --> these outcomes",[28183],[28047],1,1,['Student Loans and Homeownership'],FALSE
the largest cities have experienced a greater increase in minority-segregated schools than slightly smaller cities,the residual mechanism’s contribution to segregation is increasing in population,topic_1607,topic_4498,Explaining Recent Trends in US School Segregation,83993,topic_619,"
it always contributes to desegregation of both White and minority schools with the exception of the largest cities --> an increase in minority-segregated schools","
the ending of many desegregation policies in the South --> an increase in segregation",[83996],[84014],1,1,['Explaining Recent Trends in US School Segregation'],TRUE
"the final component, spousal and unearned income",accounts for two-fifths of the relative advantage of children from high-income families in high-transmission CZs,topic_1403,topic_2513,Inequality of Educational Opportunity? Schools as Mediators of the Intergenerational Transmission of Income,16875,topic_6428,"
The children of top-quintile parents in the United States have an almost 37% chance of staying in the top quintile as adults --> face about a one in 10 chance of falling to the bottom fifth of the income distribution","
a child raised by top percentile parents in the United States --> will rank about 31–34 percentiles higher in the income distribution than a bottom-percentile child",[22422],[22400],1,1,['Intergenerational Mobility Between and Within Canada and the United States'],FALSE
having cash income less than $2/person/day,the prevalence of extreme poverty,topic_1403,topic_781,The Use and Misuse of Income Data and Extreme Poverty in the United States,57664,topic_832,"
The Australian census, however, asks respondents to identify only their usual weekly total income, including self-employment income, government transfers, and investment income --> To limit the amount of nonearnings income in the Australian data","
survey-reported cash income --> such high rates of extreme poverty",[19401],[57691],1,1,"['A Comparative Analysis of the Labor Market Performance of University-Educated Immigrants in Australia, Canada, and the United States: Does Policy Matter?', 'The Use and Misuse of Income Data and Extreme Poverty in the United States']",FALSE
have better earnings outcomes,those who then move to the United States from Canada,topic_6169,topic_2616,Canada and High-Skill Emigration to the United States: Way Station or Farm System?,19744,topic_1644,"
The assimilation rates of college-educated workers --> estimates of relative earnings growth of more recent cohorts","
among highly educated immigrants --> most out-migration from Canada is emigration to the United States",[43783],[19935],1,1,"['Canada and High-Skill Emigration to the United States: Way Station or Farm System?', 'Immigrant Earnings Assimilation in the United States: A Panel Analysis']",FALSE
"Gx , y , and Gy have bounded fourth moments","given independence across groups s , sample averages of products, such as variances and covariances, converge in probability to corresponding population moments",topic_4891,topic_432,Blame the Parents? How Parental Unemployment Affects Labor Supply and Job Quality for Young Adults,1647,topic_1848,"
Some elements of A it --> preferences for g and j","
types with a higher   US --> will receive a higher weight in simulated moments to be matched with data moments from the MMP",[47697],[82890],1,1,"['The Labor Market Returns to Advanced Degrees', 'Borrowing Constraints and the Dynamics of Return and Repeat Migration']",FALSE
they generate unbiased estimates of causal effects,the predictive accuracy of most labor regressions as measured by R 2 is pitiable,topic_432,topic_3103,Machine Labor,78612,topic_991,"
the marginal students who attend those courses --> causal estimates of course value added from natural experiments will be based on","
low minority-share schools are the only acceptable outcome --> will be disappointed for purely arithmetic reasons",[73312],[84008],1,1,"['Matching in the Dark? Inequalities in Student to Degree Match', 'Explaining Recent Trends in US School Segregation']",FALSE
lower revenue on account of the pay change,there is a large short-term loss,topic_6368,topic_971,A Pay Change and Its Long-Term Consequences,69735,topic_1625,"
the firm hires equally productive workers at lower cost --> there is a large short-term loss, due to lower revenue on account of the pay change (in the realm of 24 months)","
the firm hires equally productive workers at lower cost --> there is a large short-term loss",[69732],[69735],1,1,['A Pay Change and Its Long-Term Consequences'],TRUE
"In 2011, only about 5% of Schedule C filers received a Form 1099-K",about 10% reported receipts within 5% of the amount on the form,topic_5373,topic_3478,Reconciling Survey and Administrative Measures of Self-Employment,53677,topic_489,"
the law --> “the box” is present on less than half of applications","
the Law --> the Standard Deviation of Weekly Pay Younger Older All Effect SE Effect SE Effect SE Bandwidth = 5: Linear (different slopes)",[43152],[3356],1,1,"['Does Banning the Box Help Ex-Offenders Get Jobs? Evaluating the Effects of a Prominent Example', 'More Education, Less Volatility? The Effect of Education on Earnings Volatility over the Life Cycle']",FALSE
an increasing wage gap for women with children,Training can be important for wages,topic_6156,topic_2760,"Wages, Experience, and Training of Women over the Life Cycle",58841,topic_6697,"
training --> reducing the gender wage gap","
Training --> wages through its impact on human capital",[58277],[58654],1,1,"['Wages, Experience, and Training of Women over the Life Cycle']",TRUE
in places with larger shares of low-income people,male mortality has declined across the income distribution,topic_5438,topic_7121,Mortality Inequality in Canada and the United States: Divergent or Convergent Trends?,24207,topic_3376,"
for males younger than 45 --> it declined more in places with larger shares of low-income people","
At ages 45–74 --> there were strong reductions in male mortality in both countries that were relatively uniform across areas, with only small changes in inequality in male mortality",[24203],[24254],1,1,['Mortality Inequality in Canada and the United States: Divergent or Convergent Trends?'],TRUE
in places with larger shares of low-income people,male mortality has declined,topic_5438,topic_7121,Mortality Inequality in Canada and the United States: Divergent or Convergent Trends?,24208,topic_3376,"
for males younger than 45 --> it declined more in places with larger shares of low-income people","
At ages 45–74 --> there were strong reductions in male mortality in both countries that were relatively uniform across areas, with only small changes in inequality in male mortality",[24203],[24254],1,1,['Mortality Inequality in Canada and the United States: Divergent or Convergent Trends?'],TRUE
"Negotiations regarding teacher pay, pensions, and contractual conditions (e.g., hours worked, curriculum, pupil teacher ratios), however, are held at the national level",it is impossible for unions to bargain only for their members,topic_6196,topic_3598,Why Unions Survive: Understanding How Unions Overcome the Free-Rider Problem,40453,topic_1090,"
nonmembers are not required to pay union dues --> the United Kingdom teacher labor market","
nonmembers are not required to pay union dues --> it is impossible for unions to bargain only for their members",[40455],[40457],1,1,['Why Unions Survive: Understanding How Unions Overcome the Free-Rider Problem'],TRUE
"negotiations regarding teacher pay, pensions, and contractual conditions (e.g., hours worked, curriculum, pupil teacher ratios), however, are held at the national level",it is impossible for unions to bargain only for their members,topic_6196,topic_3598,Why Unions Survive: Understanding How Unions Overcome the Free-Rider Problem,40454,topic_1090,"
nonmembers are not required to pay union dues --> the United Kingdom teacher labor market","
nonmembers are not required to pay union dues --> it is impossible for unions to bargain only for their members",[40455],[40457],1,1,['Why Unions Survive: Understanding How Unions Overcome the Free-Rider Problem'],TRUE
Canadians have systematically lower mortality in most age and SES categories,inequality in mortality is actually increasing among middle-aged and older adults in Canada,topic_3387,topic_1006,Mortality Inequality in Canada and the United States: Divergent or Convergent Trends?,24322,topic_3248,"
In both countries mortality rates for males and females in all age ranges generally fell, with the largest declines for children under the age of 15—particularly in the United States --> US mortality rates fell more in the most disadvantaged counties","
mortality fell sharply for infants, children, and youths in the United States --> a considerable reduction in inequality in mortality among the young",[22724],[24031],1,1,"['Introduction: Labor Markets and Public Policies in the United States and Canada', 'Mortality Inequality in Canada and the United States: Divergent or Convergent Trends?']",FALSE
States differ enormously in terms of population,"For example, Rhode Island had a total population of approximately 1 million, whereas California had a total population of 41 million in 2010",topic_2177,topic_4199,The Cobb-Douglas Marriage Matching Function: Marriage Matching with Peer and Scale Effects,56748,topic_424,"
lower-earning immigrants becoming more likely to work with time in the United States --> This is not a result of selective attrition from the panel but is due to time in the United States","
immigrants earn less than native workers on arrival but converge toward the native-born with time in the United States --> Most earlier work uses US decennial census data",[43989],[43590],1,1,['Immigrant Earnings Assimilation in the United States: A Panel Analysis'],FALSE
in the United States than in the United Kingdom,there is more mismatch,topic_2177,topic_508,Matching in the Dark? Inequalities in Student to Degree Match,73378,topic_44,"
a significant proportion of students are mismatched to the degree they attend --> there may be less mismatch in the United Kingdom than the United States","
Any student not attending their highest-quality course possible --> mismatched",[73724],[73142],1,1,['Matching in the Dark? Inequalities in Student to Degree Match'],TRUE
"Students in treatment schools scored 0.073 student standard deviations () higher, on average, than their counterparts in control schools",The difference between outcomes in high- and low-dose conditions was 0.002,topic_7489,topic_2802,Teacher Peer Observation and Student Test Scores: Evidence from a Field Experiment in English Secondary Schools,53943,topic_452,"
By year 12 after high school graduation --> treated students had accumulated on average 0.2 extra years of academic college education and 0.085 fewer years of university education than the control group","
high school GPA at the end of high school --> standardized with a mean of 0 and standard deviation of 1",[64561],[37219],1,1,"['Exposure to More Female Peers Widens the Gender Gap in STEM Participation', 'Does Remedial Education in Late Childhood Pay Off After All? Long-Run Consequences for University Schooling, Labor Market Outcomes, and Intergenerational Mobility']",FALSE
employees are not required to pay union dues,unions could continue to exist,topic_1090,topic_3209,Why Unions Survive: Understanding How Unions Overcome the Free-Rider Problem,40378,topic_6081,"
“right-to-work” legislation --> allows individuals to work in an industry without being required to join the union or pay dues","
the introduction of right-to-work legislation --> will not necessarily reduce demand for union membership to zero",[40364],[40894],1,1,['Why Unions Survive: Understanding How Unions Overcome the Free-Rider Problem'],TRUE
nonmembers are not required to pay union dues,it is impossible for unions to bargain only for their members,topic_1090,topic_3598,Why Unions Survive: Understanding How Unions Overcome the Free-Rider Problem,40457,topic_4898,"
nonunion teachers employed in public sector schools will also receive any gains --> Despite being able to gain from the union negotiations, nonmembers are not required to pay union dues","
nonunion teachers employed in public sector schools will also receive any gains --> it is impossible for unions to bargain only for their members",[40456],[40454],1,1,['Why Unions Survive: Understanding How Unions Overcome the Free-Rider Problem'],TRUE
conditional under-/overrepresentation of white students in special education,is far less sensitive to racial composition than that for Hispanic and black students,topic_1025,topic_2897,School Segregation and Racial Gaps in Special Education Identification,56470,topic_6059,"
schools with larger minority shares are underresourced compared with schools that serve largely white populations --> school racial composition and identification gaps
important unobserved determinants of disability identification are correlated with school minority shares --> the implied gradient of disability gaps
there is a sizeable negative gradient in the raw-predicted gap --> overrepresentation for black students in low-minority schools and underrepresentation in heavily minority schools","
there appears to be substantial density of all races in schools with low or high same race or combined black/Hispanic shares --> black students attend schools that are heavily black, while Hispanic students attend schools that are heavily Hispanic","[56616, 56683, 56570]",[56338],3,1,['School Segregation and Racial Gaps in Special Education Identification'],TRUE
"depending on several factors, including transportation infrastructure, cheap availability of local inputs, and so on",This net present value differs across locations,topic_5161,topic_3087,"“Good” Firms, Worker Flows, and Local Productivity",12624,topic_1934,"
a high, uniform, and national minimum wage --> local economies","
imposing a high, uniform, and national minimum wage --> differential real impacts on local economies",[62902],[62901],1,1,['The Economic Impact of a High National Minimum Wage: Evidence from the 1966 Fair Labor Standards Act'],FALSE
postsecondary education,labor outcomes,topic_4049,topic_950,"Does Remedial Education in Late Childhood Pay Off After All? Long-Run Consequences for University Schooling, Labor Market Outcomes, and Intergenerational Mobility",64687,topic_5075,"
the remedial education program --> postsecondary schooling attainment","
the remedial education program --> labor market outcomes",[64488],[64585],1,1,"['Does Remedial Education in Late Childhood Pay Off After All? Long-Run Consequences for University Schooling, Labor Market Outcomes, and Intergenerational Mobility']",TRUE
an increase in the return to high school completion,higher educational attainment and higher earnings,topic_3691,topic_820,Does Money Still Matter? Attainment and Earnings Effects of Post-1990 School Finance Reforms,77863,topic_7457,"
Head Start --> increases high school graduation (more than 11 years of education) rates by at least 4 percentage points","
Head Start --> education and earnings",[33744],[33721],1,1,['Head Start and the Distribution of Long-Term Education and Labor Market Outcomes'],FALSE
the mediation effects of postsecondary education,labor outcomes,topic_1799,topic_950,"Does Remedial Education in Late Childhood Pay Off After All? Long-Run Consequences for University Schooling, Labor Market Outcomes, and Intergenerational Mobility",64688,topic_5075,"
the remedial education program --> a positive treatment effect on postsecondary schooling in other forms of postsecondary schooling","
the remedial education program --> labor market outcomes",[64573],[64585],1,1,"['Does Remedial Education in Late Childhood Pay Off After All? Long-Run Consequences for University Schooling, Labor Market Outcomes, and Intergenerational Mobility']",TRUE
the returns of postsecondary schooling,labor market outcomes,topic_1799,topic_950,"Does Remedial Education in Late Childhood Pay Off After All? Long-Run Consequences for University Schooling, Labor Market Outcomes, and Intergenerational Mobility",64709,topic_5075,"
the remedial education program --> a positive treatment effect on postsecondary schooling in other forms of postsecondary schooling","
the remedial education program --> labor market outcomes",[64573],[64585],1,1,"['Does Remedial Education in Late Childhood Pay Off After All? Long-Run Consequences for University Schooling, Labor Market Outcomes, and Intergenerational Mobility']",TRUE
the current state of residence becomes an increasingly poor proxy for the state of graduation,the bias worsens over time,topic_1711,topic_4459,Unlucky Cohorts: Estimating the Long-Term Effects of Entering the Labor Market in a Recession in Large Cross-Sectional Data Sets,18900,topic_1475,"
the share of migrants accumulates within graduation cohorts --> the current state of residence becomes an increasingly poor proxy for the state of graduation","
the share of migrants accumulates within graduation cohorts --> the bias worsens over time",[18898],[18897],1,1,['Unlucky Cohorts: Estimating the Long-Term Effects of Entering the Labor Market in a Recession in Large Cross-Sectional Data Sets'],TRUE
a much larger effect on the matriculation rate of students from families with below-median family income,the effect on postsecondary schooling,topic_1711,topic_1799,"Does Remedial Education in Late Childhood Pay Off After All? Long-Run Consequences for University Schooling, Labor Market Outcomes, and Intergenerational Mobility",64580,topic_5075,"
the remedial education program --> was able to move up the income and rank of the students who come from the lower socioeconomic segment of the studied population—namely, those with below-median family income","
the remedial education program --> a positive treatment effect on postsecondary schooling in other forms of postsecondary schooling",[64654],[64573],1,1,"['Does Remedial Education in Late Childhood Pay Off After All? Long-Run Consequences for University Schooling, Labor Market Outcomes, and Intergenerational Mobility']",TRUE
"in the control cohort the school readiness gap between children born before and after January 1, 1999, is even more pronounced (11.7 percentage points)","58% of those born before January 1, 2000, are assessed to be fluent in German, in comparison to 50.3% of those born after the cutoff date, a gap of 7.7 percentage points",topic_6544,topic_1299,Why Birthright Citizenship Matters for Immigrant Children: Short- and Long-Run Impacts on Educational Integration,28832,topic_4652,"
an adjustment in immigrant parents’ secondary school track choices --> a significant increase in immigrant children’s probability of attending the academic track of secondary school of 38.9%—an effect that closes the academic track enrollment gap between immigrant children and their native peers by almost one-half","
an adjustment in immigrant parents’ secondary school track choices --> an increase in immigrant children’s German language proficiency and their socioemotional maturity",[28658],[28655],1,1,['Why Birthright Citizenship Matters for Immigrant Children: Short- and Long-Run Impacts on Educational Integration'],TRUE
"in the control cohort the school readiness gap between children born before and after January 1, 1999, is even more pronounced (11.7 percentage points)","58% of those born before January 1, 2000, are assessed to be fluent in German",topic_6544,topic_1299,Why Birthright Citizenship Matters for Immigrant Children: Short- and Long-Run Impacts on Educational Integration,28835,topic_4652,"
an adjustment in immigrant parents’ secondary school track choices --> a significant increase in immigrant children’s probability of attending the academic track of secondary school of 38.9%—an effect that closes the academic track enrollment gap between immigrant children and their native peers by almost one-half","
an adjustment in immigrant parents’ secondary school track choices --> an increase in immigrant children’s German language proficiency and their socioemotional maturity",[28658],[28655],1,1,['Why Birthright Citizenship Matters for Immigrant Children: Short- and Long-Run Impacts on Educational Integration'],TRUE
"infrastructure is restored quickly and hotels, places of entertainment, and meeting places are rebuilt before residential buildings",labor demand will increase prior to labor supply,topic_5070,topic_122,Storms and Jobs: The Effect of Hurricanes on Individuals’ Employment and Earnings over the Long Term,34436,topic_402,"
minimum wage hikes --> increase investments in capital equipment, such as automated ordering kiosks, which come with hands-on customer service requirements in their initial years","
minimum wage hikes --> increase in demand for higher-skilled workers",[55683],[8183],1,1,"['Dropouts Need Not Apply? The Minimum Wage and Skill Upgrading', 'Hedonic-Based Labor Supply Substitution and the Ripple Effect of Minimum Wages']",FALSE
infrastructure is restored quickly,labor demand will increase prior to labor supply,topic_5070,topic_122,Storms and Jobs: The Effect of Hurricanes on Individuals’ Employment and Earnings over the Long Term,34441,topic_402,"
minimum wage hikes --> increase investments in capital equipment, such as automated ordering kiosks, which come with hands-on customer service requirements in their initial years","
minimum wage hikes --> increase in demand for higher-skilled workers",[55683],[8183],1,1,"['Dropouts Need Not Apply? The Minimum Wage and Skill Upgrading', 'Hedonic-Based Labor Supply Substitution and the Ripple Effect of Minimum Wages']",FALSE
Black workers were hired into the Ford Motor Company at levels that were anomalistic at the time,"the Ford Motor Company had no apparent wage gap between its Black and White workers, effectively paying greater than market wages to Black workers",topic_4536,topic_6738,The Impact of Ford Motor Company’s Voluntary Equal Wage Policy on Detroit’s Wage Gap in the 1940s,68137,topic_1301,"
a reduction in both types of switching costs --> a relatively larger inflow of Black than White workers into S","
the reduction in switching costs --> White workers in the postwar period have   0",[76333],[76339],1,1,['World War II and Black Economic Progress'],FALSE
